Percentage,County,Fips
40.0,Yolo,6113
22.86,Los Angeles,6037
0.0,Randall,48381
20.0,0,0
0.0,Cochise,4003
33.33,Ottawa,26139
0.0,Highlands,12055
0.0,Torrance,35057
40.0,Middlesex,25017
21.43,Alameda,6001
0.0,Schenectady,36093
71.43,Maricopa,4013
50.0,El Paso,48141
50.0,Orange,6059
27.27,Cook,17031
0.0,Cape May,34009
40.0,District of Columbia,11001
50.0,Rensselaer,36083
66.67,Santa Clara,6085
0.0,Calhoun,17013
20.0,Lycoming,42081
40.0,Fulton,13121
36.36,Dallas,48113
0.0,Polk,12105
0.0,Fresno,6019
50.0,Clarke,13059
33.33,Monroe,36055
28.57,Santa Barbara,6083
50.0,Cameron,48061
50.0,Boulder,8013
0.0,Brazos,48041
0.0,Honolulu,15003
50.0,Onondaga,36067
0.0,Prince George's,24033
16.67,Philadelphia,42101
62.5,Suffolk,36103
35.71,New York,36061
0.0,Hamilton,39061
40.0,Mecklenburg,37119
50.0,Berkshire,25003
66.67,Cuyahoga,39035
71.43,San Diego,6073
33.33,Essex,34013
0.0,Sarasota,12115
25.0,DeKalb,13089
0.0,Champaign,17019
0.0,Wexford,26165
0.0,Douglas,31055
50.0,Miami-Dade,12086
50.0,Orange,12095
50.0,Brevard,12009
25.0,Durham,37063
33.33,King,53033
0.0,Runnels,48399
0.0,Tolland,9013
50.0,Travis,48453
0.0,Middlesex,34023
0.0,Cleveland,40027
0.0,Dane,55025
50.0,Larimer,8069
50.0,Tompkins,36109
60.0,New Haven,9009
50.0,Taylor,48441
100.0,Tift,13277
60.0,San Francisco,6075
100.0,Alamosa,8003
100.0,Nassau,36059
100.0,Lenawee,26091
0.0,Greene,39057
100.0,Madison,1089
0.0,Montgomery,1101
0.0,Anchorage,2020
50.0,Calhoun,26025
80.0,Berks,42011
100.0,Claiborne,28021
0.0,Barbour,54001
100.0,Allegany,36003
0.0,Knott,21119
100.0,Crawford,42039
0.0,Black Hawk,19013
25.0,Richland,45079
33.33,Milwaukee,55079
60.0,Delaware,42045
0.0,Bayamón,72021
33.33,Wake,37183
0.0,Hampden,25013
0.0,Prince William,51153
66.67,San Bernardino,6071
100.0,Hampshire,25015
50.0,Madison,18095
100.0,Berrien,26021
100.0,Tom Green,48451
50.0,Worcester,25027
66.67,Cheshire,33005
0.0,Raleigh,54081
100.0,Watauga,37189
50.0,Kent,26081
66.67,Montgomery,42091
100.0,Craighead,5031
100.0,Pope,5115
50.0,Tarrant,48439
100.0,Chatham,13051
60.0,Denver,8031
66.67,Harris,48201
50.0,Allegheny,42003
100.0,Jessamine,21113
0.0,Clinton,19045
100.0,Ashland,39005
57.14,Greene,29077
100.0,Limestone,1083
100.0,Lee,1081
100.0,Richmond,13245
100.0,Rock Island,17161
100.0,Kane,17089
100.0,Grayson,48181
100.0,Montgomery,47125
100.0,Collier,12021
100.0,Roanoke,51770
50.0,Jackson,29095
0.0,Madison,39097
100.0,Madison,36053
100.0,Williamsburg,51830
50.0,El Paso,8041
100.0,Jefferson,8059
50.0,New London,9011
40.0,Erie,36029
100.0,Lake,46079
100.0,Davison,46035
100.0,Whitfield,13313
0.0,Hillsborough,33011
100.0,Grafton,33009
100.0,Macomb,26099
0.0,Broome,36007
100.0,Volusia,12127
66.67,Norfolk,25021
100.0,Kent,10001
100.0,Bolivar,28011
100.0,Licking,39089
100.0,Putnam,18133
75.0,Polk,19153
100.0,Lehigh,42077
66.67,DuPage,17043
66.67,Arlington,51013
75.0,Cobb,13067
100.0,Cumberland,42041
0.0,Stark,38089
100.0,Orleans,22071
33.33,Dubuque,19061
100.0,Washington,49053
100.0,Saline,31151
0.0,Rockland,36087
0.0,Marin,6041
0.0,Wyandotte,20209
100.0,Sioux,19167
100.0,Morris,34027
50.0,Hennepin,27053
100.0,Wayne,18177
100.0,Pitt,37147
100.0,Franklin,29071
0.0,Monroe,42089
66.67,Davidson,47037
0.0,Harrison,48203
75.0,Multnomah,41051
100.0,Windham,9015
100.0,Coles,17029
100.0,Madison,21151
0.0,Harrisonburg,51660
50.0,Washtenaw,26161
100.0,Chaves,35005
100.0,Union,41061
100.0,Norfolk,51710
100.0,Spokane,53063
0.0,Pinellas,12103
50.0,Greenville,45045
71.43,St. Louis,29189
60.0,Erie,42049
66.67,Lee,12071
50.0,Duval,12031
0.0,Pasquotank,37139
75.0,Lancaster,42071
66.67,Fairbanks North Star,2090
0.0,Chemung,36015
0.0,Sarpy,31153
0.0,Franklin,13119
0.0,Carter,47019
0.0,Washington,51191
100.0,Lyon,20111
33.33,Essex,25009
0.0,Abbeville,45001
0.0,San Juan,72127
100.0,Woodford,17203
0.0,Seminole,12117
0.0,Albany,36001
100.0,Fairfield,9001
66.67,Bergen,34003
100.0,Marion,54049
50.0,Mobile,1097
66.67,Cumberland,37051
50.0,Mecosta,26107
100.0,Franklin,51067
50.0,Houghton,26061
0.0,Bristol,25005
100.0,St. Johns,12109
0.0,Palm Beach,12099
0.0,Osceola,12097
25.0,Hillsborough,12057
50.0,Leon,12073
50.0,Bronx,36005
100.0,Ellis,20051
100.0,La Plata,8067
0.0,Peach,13225
0.0,Florence,45041
100.0,Jefferson,39081
100.0,Johnson,18081
88.89,Franklin,39049
37.5,Shelby,47157
100.0,Sedgwick,20173
100.0,Allegany,24001
0.0,Oconee,13219
0.0,Cleveland,37045
100.0,Beaver,42007
50.0,Yamhill,41071
100.0,Fairfax,51059
0.0,Scott,21209
66.67,Bibb,13021
100.0,Gwinnett,13135
100.0,Bulloch,13031
100.0,Sumter,13261
0.0,Ocean,34029
100.0,Gilmer,54021
0.0,Washington,50023
0.0,St. Louis,29510
50.0,Hartford,9003
50.0,Elkhart,18039
100.0,Baltimore,24005
33.33,Will,17197
50.0,Lincoln,22061
100.0,Merrimack,33013
0.0,Elko,32007
0.0,Eaton,26045
0.0,Rutland,50021
66.67,Guilford,37081
100.0,Bond,17005
100.0,Poweshiek,19157
0.0,Gulf,12045
100.0,Nicollet,27103
0.0,Nueces,48355
50.0,Benton,41003
0.0,Salt Lake,49035
100.0,Bannock,16005
0.0,Morgan,17137
100.0,McLean,17113
0.0,Chester,42029
0.0,St. Lucie,12111
50.0,Allen,18003
100.0,Vigo,18167
100.0,Indiana,42063
100.0,Howard,18067
100.0,Monroe,18105
100.0,Lake,18089
100.0,St. Joseph,18141
100.0,Floyd,18043
100.0,Bartholomew,18005
50.0,Marion,18097
0.0,Grant,18053
66.67,Mercer,34021
0.0,Albemarle,51003
0.0,Hawaii,15001
50.0,Providence,44007
60.0,Suffolk,25025
100.0,Williamson,48491
50.0,Westchester,36119
100.0,Story,19169
0.0,Henry,19087
50.0,Hancock,23009
100.0,Loudoun,51107
75.0,Baltimore,24510
0.0,Kalamazoo,26077
50.0,Riley,20161
0.0,Union,34039
100.0,Portage,39133
0.0,Ashtabula,39007
0.0,Columbiana,39029
0.0,Stark,39151
0.0,Carter,21043
0.0,Breathitt,21025
100.0,Franklin,21073
0.0,Daviess,21059
50.0,Knox,39083
100.0,Genesee,26049
100.0,Yates,36123
100.0,Wyoming,42131
80.0,Luzerne,42079
100.0,Knox,17095
0.0,Chelan,53007
50.0,San Mateo,6081
100.0,Gregg,48183
66.67,Dutchess,36027
100.0,Kootenai,16055
100.0,Lynchburg,51680
0.0,Cherokee,45021
0.0,Logan,17107
0.0,St. Charles,29183
0.0,Adair,21001
100.0,Rowan,37159
100.0,Clinton,42035
100.0,Kings,36047
100.0,Prince Edward,51147
85.71,East Baton Rouge,22033
100.0,Caddo,22017
100.0,Rapides,22079
100.0,Ramsey,27123
33.33,Alachua,12001
75.0,Wayne,26163
0.0,Jefferson,19101
0.0,Cumberland,23005
100.0,Tioga,42117
0.0,Jefferson,55055
100.0,Washington,39167
0.0,Perry,1105
0.0,Windham,50025
0.0,Madison,37115
100.0,Cabell,54011
0.0,Brown,27015
0.0,Giles,47055
0.0,Staunton,51790
0.0,Clackamas,41005
100.0,Blount,47009
100.0,Lackawanna,42069
100.0,Barnstable,25001
0.0,Maui,15009
0.0,Traill,38097
0.0,Carroll,24013
0.0,Hardin,21093
0.0,Calcasieu,22019
0.0,McPherson,20113
0.0,Burleigh,38015
100.0,Charleston,45019
0.0,Lucas,39095
100.0,Centre,42027
50.0,Butler,39017
50.0,Oakland,26125
50.0,Ingham,26065
0.0,Graves,21083
0.0,Johnson,20091
0.0,Dodge,13091
100.0,Rutherford,47149
100.0,Addison,50001
0.0,Dodge,31053
0.0,Peoria,17143
100.0,Woodford,21239
0.0,Clay,29047
100.0,Wichita,48485
100.0,Jefferson,1073
0.0,Macon,17115
66.67,Hinds,28049
100.0,Blue Earth,27013
100.0,Clay,27027
100.0,Ward,38101
100.0,Oktibbeha,28105
0.0,Lowndes,28087
0.0,Leflore,28083
50.0,Jasper,29097
100.0,Boone,29019
0.0,Saline,29195
0.0,Buchanan,29021
100.0,Warren,17187
100.0,Monmouth,34025
100.0,Missoula,30063
33.33,Buncombe,37021
100.0,Northampton,42095
100.0,Rowan,21205
0.0,Woodbury,19193
0.0,Sumter,45085
0.0,Cambria,42021
0.0,Marion,41047
100.0,Yankton,46135
0.0,Linn,19113
0.0,Wayne,37191
0.0,Orange,36071
0.0,Frederick,24021
100.0,Calloway,21035
100.0,Muskingum,39119
100.0,Lancaster,31109
0.0,Sacramento,6067
100.0,Montgomery,24031
0.0,Buckingham,51029
0.0,Cameron,22023
0.0,Clark,32003
0.0,Beltrami,27007
100.0,Gibson,18051
100.0,Lorain,39093
25.0,Bexar,48029
100.0,Shannon,46113
0.0,Pickaway,39129
100.0,Hardin,39065
100.0,Athens,39009
0.0,Wood,54107
100.0,Delaware,39041
83.33,Pottawatomie,40125
100.0,Oklahoma,40109
0.0,Washington,40147
100.0,Kitsap,53035
100.0,Tulsa,40143
100.0,Jackson,41029
100.0,Klamath,41035
100.0,Blair,42013
100.0,Clearfield,42033
100.0,Fayette,42051
100.0,Dauphin,42043
100.0,Franklin,42055
100.0,Westmoreland,42129
100.0,Lawrence,42073
100.0,York,42133
100.0,Bucks,42017
100.0,Tippecanoe,18157
100.0,Delaware,18035
0.0,Adams,17001
100.0,Radford,51750
100.0,Hanover,51085
0.0,Marion,12083
100.0,Virginia Beach,51810
0.0,Cherokee,13057
100.0,Atlantic,34001
0.0,Fond du Lac,55039
100.0,Salem,51775
100.0,Camden,34007
100.0,Sonoma,6097
100.0,Orangeburg,45075
100.0,Pennington,46103
100.0,Clay,46027
0.0,Shelby,1117
100.0,Tangipahoa,22105
100.0,Hamilton,47065
100.0,Columbia,5027
100.0,Jackson,17077
100.0,Iron,49021
100.0,Bennington,50003
0.0,Pickens,45077
100.0,Tuscaloosa,1125
100.0,Douglas,20045
100.0,Lafayette,28071
100.0,Orange,37135
100.0,Robeson,37155
100.0,Forsyth,37067
100.0,New Hanover,37129
100.0,Weld,8123
100.0,Lane,41039
100.0,Washington,44009
100.0,Knox,47093
100.0,Weakley,47183
100.0,Smith,48423
100.0,Galveston,48167
100.0,Ector,48135
100.0,Hidalgo,48215
100.0,San Joaquin,6077
100.0,Chittenden,50007
100.0,Martinsville,51690
100.0,Brown,55009
100.0,Albany,56001
0.0,Orange,50017
100.0,Knox,18083
100.0,Richmond,51760
0.0,Bristol,51520
100.0,Lexington,51678
100.0,Montgomery,51121
100.0,Chesterfield,51041
100.0,La Crosse,55063
100.0,Bamberg,45009
0.0,Montgomery,18107
100.0,Richmond,36085
100.0,Winnebago,19189
100.0,Walla Walla,53071
100.0,Summit,39153
100.0,Bremer,19017
100.0,Shawnee,20177
0.0,Washington,42125
